iter	Passed	Remaining
918	7781	2379
919	7790	2370
920	7798	2362
921	7806	2353
922	7814	2345
923	7823	2336
924	7832	2328
925	7840	2320
926	7849	2311
927	7857	2303
928	7866	2294
929	7874	2286
930	7883	2277
931	7891	2269
932	7900	2260
933	7908	2252
934	7916	2243
935	7925	2235
936	7933	2226
937	7941	2218
938	7950	2209
939	7958	2201
940	7966	2192
941	7975	2184
942	7983	2175
943	7992	2167
944	8000	2158
945	8008	2150
946	8016	2141
947	8025	2133
948	8034	2125
949	8043	2116
950	8051	2108
951	8060	2099
952	8068	2091
953	8077	2082
954	8085	2074
955	8093	2065
956	8101	2057
957	8111	2048
958	8119	2040
959	8127	2031
960	8136	2023
961	8145	2015
962	8154	2006
963	8163	1998
964	8171	1989
965	8179	1981
966	8187	1972
967	8196	1964
968	8204	1955
969	8213	1947
970	8221	1939
971	8230	1930
972	8238	1922
973	8247	1913
974	8255	1905
975	8264	1896
976	8273	1888
977	8281	1879
978	8290	1871
979	8299	1863
980	8307	1854
981	8315	1846
982	8324	1837
983	8333	1829
984	8341	1820
985	8349	1812
986	8357	1803
987	8366	1795
988	8374	1786
989	8382	1778
990	8391	1769
991	8399	1761
992	8408	1752
993	8417	1744
994	8425	1735
995	8434	1727
996	8442	1719
997	8451	1710
998	8459	1702
999	8468	1693
1000	8476	1685
1001	8484	1676
1002	8493	1668
1003	8501	1659
1004	8509	1651
1005	8517	1642
1006	8526	1634
1007	8534	1625
1008	8544	1617
1009	8552	1608
1010	8560	1600
1011	8568	1591
1012	8577	1583
1013	8585	1574
1014	8593	1566
1015	8602	1557
1016	8610	1549
1017	8618	1540
1018	8627	1532
1019	8636	1524
1020	8644	1515
1021	8653	1507
1022	8662	1498
1023	8671	1490
1024	8679	1481
1025	8688	1473
1026	8697	1465
1027	8705	1456
1028	8714	1448
1029	8723	1439
1030	8733	1431
1031	8742	1423
1032	8751	1414
1033	8761	1406
1034	8769	1398
1035	8778	1389
1036	8786	1381
1037	8795	1372
1038	8804	1364
1039	8814	1356
1040	8823	1347
1041	8832	1339
1042	8841	1330
1043	8850	1322
1044	8859	1314
